Id,Class
31,Sydney
32,Sydney
33,Sydney
34,Melbourne
35,Sydney
36,Sydney
37,Sydney
38,Sydney
39,Sydney
310,Sydney
311,Sydney
312,Brisbane
313,Sydney
314,Melbourne
315,Brisbane
316,Melbourne
317,Brisbane
318,Melbourne
319,Sydney
320,Brisbane
321,Sydney
322,Sydney
323,Perth
324,Perth
325,Sydney
326,Brisbane
327,Sydney
328,Melbourne
329,Brisbane
330,Sydney
331,Sydney
332,Sydney
333,Sydney
334,Perth
335,Perth
336,Brisbane
337,Brisbane
338,Sydney
339,Sydney
340,Sydney
341,Perth
342,Perth
343,Melbourne
344,Sydney
345,Perth
346,Perth
347,Sydney
348,Brisbane
349,Sydney
350,Brisbane
351,Sydney
352,Sydney
353,Melbourne
354,Melbourne
355,Sydney
356,Brisbane
357,Sydney
358,Sydney
359,Perth
360,Sydney
361,Sydney
362,Melbourne
363,Melbourne
364,Sydney
365,Sydney
366,Sydney
367,Sydney
368,Sydney
369,Sydney
370,Brisbane
371,Sydney
372,Brisbane
373,Brisbane
374,Melbourne
375,Brisbane
376,Sydney
377,Perth
378,Perth
379,Sydney
380,Perth
381,Brisbane
382,Sydney
383,Perth
384,Sydney
385,Sydney
386,Brisbane
387,Sydney
388,Perth
389,Brisbane
390,Sydney
391,Sydney
392,Sydney
393,Sydney
394,Brisbane
395,Sydney
396,Brisbane
397,Sydney
398,Perth
399,Sydney
3100,Sydney
3101,Brisbane
3102,Brisbane
3103,Melbourne
3104,Brisbane
3105,Sydney
3106,Sydney
3107,Sydney
3108,Brisbane
3109,Brisbane
3110,Melbourne
3111,Perth
3112,Sydney
3113,Brisbane
3114,Brisbane
3115,Sydney
3116,Sydney
3117,Sydney
3118,Brisbane
3119,Brisbane
3120,Perth
3121,Sydney
3122,Brisbane
3123,Brisbane
3124,Melbourne
3125,Sydney
3126,Melbourne
3127,Perth
3128,Sydney
3129,Sydney
3130,Sydney
3131,Melbourne
3132,Perth
3133,Perth
3134,Brisbane
3135,Perth
3136,Brisbane
3137,Perth
3138,Sydney
3139,Sydney
3140,Perth
3141,Sydney
3142,Melbourne
3143,Sydney
3144,Sydney
3145,Brisbane
3146,Sydney
3147,Sydney
3148,Melbourne
3149,Brisbane
3150,Brisbane
3151,Perth
3152,Brisbane
3153,Sydney
3154,Sydney
3155,Melbourne
3156,Sydney
3157,Sydney
3158,Melbourne
3159,Melbourne
3160,Sydney
3161,Melbourne
3162,Sydney
3163,Brisbane
3164,Sydney
3165,Melbourne
3166,Melbourne
3167,Sydney
3168,Sydney
3169,Sydney
3170,Brisbane
3171,Perth
3172,Sydney
3173,Perth
3174,Sydney
3175,Brisbane
3176,Melbourne
3177,Perth
3178,Sydney
