Id,Class
31,Sydney
32,Sydney
33,Sydney
34,Brisbane
35,Sydney
36,Sydney
37,Sydney
38,Sydney
39,Sydney
310,Sydney
311,Sydney
312,Brisbane
313,Sydney
314,Brisbane
315,Brisbane
316,Melbourne
317,Melbourne
318,Melbourne
319,Sydney
320,Brisbane
321,Sydney
322,Sydney
323,Perth
324,Sydney
325,Sydney
326,Brisbane
327,Sydney
328,Melbourne
329,Sydney
330,Sydney
331,Sydney
332,Sydney
333,Sydney
334,Perth
335,Melbourne
336,Sydney
337,Sydney
338,Sydney
339,Sydney
340,Sydney
341,Perth
342,Sydney
343,Melbourne
344,Sydney
345,Melbourne
346,Perth
347,Sydney
348,Melbourne
349,Sydney
350,Brisbane
351,Sydney
352,Sydney
353,Melbourne
354,Perth
355,Melbourne
356,Brisbane
357,Sydney
358,Sydney
359,Sydney
360,Sydney
361,Sydney
362,Melbourne
363,Melbourne
364,Sydney
365,Sydney
366,Perth
367,Melbourne
368,Sydney
369,Sydney
370,Sydney
371,Sydney
372,Melbourne
373,Brisbane
374,Melbourne
375,Brisbane
376,Sydney
377,Melbourne
378,Melbourne
379,Sydney
380,Melbourne
381,Brisbane
382,Sydney
383,Melbourne
384,Sydney
385,Sydney
386,Melbourne
387,Sydney
388,Melbourne
389,Brisbane
390,Sydney
391,Sydney
392,Sydney
393,Sydney
394,Brisbane
395,Perth
396,Melbourne
397,Sydney
398,Sydney
399,Sydney
3100,Sydney
3101,Brisbane
3102,Brisbane
3103,Melbourne
3104,Melbourne
3105,Sydney
3106,Sydney
3107,Sydney
3108,Brisbane
3109,Melbourne
3110,Melbourne
3111,Perth
3112,Sydney
3113,Brisbane
3114,Perth
3115,Brisbane
3116,Sydney
3117,Sydney
3118,Brisbane
3119,Brisbane
3120,Melbourne
3121,Sydney
3122,Brisbane
3123,Melbourne
3124,Melbourne
3125,Sydney
3126,Melbourne
3127,Melbourne
3128,Sydney
3129,Sydney
3130,Sydney
3131,Sydney
3132,Melbourne
3133,Melbourne
3134,Perth
3135,Sydney
3136,Brisbane
3137,Melbourne
3138,Melbourne
3139,Sydney
3140,Sydney
3141,Sydney
3142,Sydney
3143,Sydney
3144,Sydney
3145,Melbourne
3146,Sydney
3147,Sydney
3148,Sydney
3149,Melbourne
3150,Perth
3151,Perth
3152,Sydney
3153,Sydney
3154,Sydney
3155,Sydney
3156,Melbourne
3157,Sydney
3158,Perth
3159,Melbourne
3160,Sydney
3161,Brisbane
3162,Sydney
3163,Melbourne
3164,Sydney
3165,Sydney
3166,Melbourne
3167,Brisbane
3168,Sydney
3169,Perth
3170,Brisbane
3171,Melbourne
3172,Sydney
3173,Sydney
3174,Sydney
3175,Brisbane
3176,Melbourne
